Tupi,Tradução,Citação
apyterybỹîa,"vão oco de alguma coisa, o vazio do meio de alguma coisa","VLB, II, 141"
São Sebastião irũ...,companheiro de São Sebastião,"Anch., Teatro, 40"
Abápe îa'u raẽne?,Quem devoraremos primeiro?,"Anch., Teatro, 64"
Nde nhe'ẽ-poroîukaípe abá supé?,Tu tiveste para alguém palavras que violentam?,"Anch., Doutr. Cristã, II, 103"
Xe nambi-asyk.,Eu tenho as orelhas cortadas.,"VLB, II, 58"
...Kó santo o mongetasara oîmoîekosub i mba'e i kanhẽmbyra koîpó semiaûsuîababa supé.,Este santo faz aquele que a ele roga alcançar suas coisas sumidas ou seu escravo fugido.,"Ar., Cat., 6"
...Kûesenhe'ym bé sepîá-potá tenhẽ roîré.,"Depois de querer vê-lo, em vão, desde muito tempo atrás.","Ar., Cat., 58v"
inaîagûasu apepûera,casca de coco,"Ar., Cat., 353"
Nd'ereîkuabype Tupã... opakatu ikó 'ara pupé îandé remimborará-tyba abé seîtykagûera?,Não sabes que Deus lançou neste mundo também tudo o que a gente sofre costumeiramente?,"Ar., Cat., 112"
Marãba'e kunhãpe Santa Maria?,Que tipo de mulher é Santa Maria?,"Ar., Cat., 30v."
Aîubyk.,Enforquei-o.,"VLB, I, 116"
A'ebé kori... i mbo'ane.,Ainda hoje fazendo-os cair.,"Anch., Teatro, 146, 2006"
...mundeokype i mondebypyrûera,o que foi encarcerado na prisão,"Ar., Cat., 59v"
Kó 'ara marãtekoabe'yma.,Este dia é feriado.,"Ar., Cat., 6v"
Mba'e-poxy resé oporomboryba'e.,O que tolera as pessoas em coisas más.,"Anch., Diál. da Fé, 209"
T'îanhe'engá-mirĩ ranhẽ...,"Cantemos um pouquinho, primeiro.","Anch., Teatro, 56"
-Oîmo'y'upe gûá?,Deram-lhe de beber?,"Ar., Cat., 63"
T'oroîopytybõne oré poromonhangagûera mongakuapa...,Que ajudemos um ao outro para criarmos nossos filhos.,"Ar., Cat., 95"
Peîpysy-katu kori... sesé pemaînãngatûabo.,"Apanhai-o bem hoje, dele tomando conta.","Ar., Cat., 54"
